rowId,1,label
21,4.955073225,0
36,4.951842897,0
41,4.90259669,0
52,4.977546634,0
63,4.899872173,0
93,4.926503515,0
94,4.917233469,0
95,4.933498271,0
141,4.887342651,0
156,4.97173153,0
174,4.961337557,0
176,4.910996571,0
193,4.914985614,0
196,4.965214293,0
216,4.927402828,0
224,4.923047716,0
225,4.903355406,0
256,4.917513808,0
283,4.910575634,0
295,4.926054287,0
322,4.900012771,0
323,4.920772427,0
324,4.895658516,0
341,4.909311108,0
400,4.975046731,0
425,4.973698189,0
434,4.906530008,0
449,4.978137318,0
457,4.983193706,0
463,4.919086964,0
479,4.984654555,0
482,4.939145343,0
504,4.982547298,0
510,4.912092207,0
512,4.957517403,0
530,4.884365229,0
566,4.935801852,0
578,4.947909579,0
581,4.923947029,0
612,4.955999972,0
614,4.920014568,0
617,4.903524295,0
662,4.955522453,0
695,4.964765065,0
714,4.897259105,0
715,4.980187993,0
718,4.932094005,0
737,4.974147418,0
740,4.972743151,0
778,4.908833589,0
796,4.937684495,0
828,4.909872643,0
829,4.962377469,0
834,4.890461529,0
838,4.960186195,0
859,4.915210228,0
871,4.96203969,0
880,4.92445284,0
901,4.96830488,0
903,4.922092677,0
924,4.929762133,0
929,4.956028263,0
931,4.918581153,0
934,4.890488963,0
938,4.983081399,0
940,4.90279387,0
965,4.903130792,0
966,4.913721945,0
979,4.969456241,0
982,4.967715053,0
990,4.926391208,0
1035,4.956477491,0
1039,4.905827875,0
1056,4.943667631,0
1074,4.950269741,0
1080,4.940072091,0
1081,4.930183928,0
1097,4.976114077,0
1132,4.889506491,0
1154,4.964175238,0
1180,4.93675689,0
1187,4.899535252,0
1210,4.901641652,0
1244,4.927430262,0
1258,4.977125697,0
1260,4.905658986,0
1268,4.973783063,0
1304,4.945353094,0
1333,4.934481601,0
1338,4.940661917,0
1347,4.891837505,0
1356,4.985440705,0
1363,4.973164945,0
1391,4.943920536,0
1392,4.975187329,0
1412,4.885376849,0
1486,4.977631508,0
1496,4.896809877,0
1524,4.895714241,0
1537,4.886275306,0
1553,4.951280505,0
1577,4.975608266,0
1590,4.96830488,0
1591,4.94465096,0
1593,4.966113607,0
1596,4.897259105,0
2376,4.97271486,1
3473,4.938611242,1
